iter=0,err=0.490271
iter=10,err=0.453452
iter=20,err=0.407190
iter=30,err=0.362403
iter=40,err=0.322705
iter=50,err=0.293204
iter=60,err=0.263245
iter=70,err=0.230716
iter=80,err=0.200029
iter=90,err=0.167026
iter=100,err=0.137320
iter=110,err=0.111713
iter=120,err=0.085413
iter=130,err=0.067378
iter=140,err=0.057862
iter=150,err=0.049060
iter=160,err=0.037553
iter=170,err=0.028891
iter=180,err=0.027235
iter=190,err=0.022472
iter=200,err=0.016732
iter=210,err=0.014235
iter=220,err=0.012740
iter=230,err=0.011299
iter=240,err=0.008671
iter=250,err=0.008786
iter=260,err=0.010917
iter=270,err=0.009991
iter=280,err=0.010988
iter=290,err=0.010756
iter=300,err=0.007441
iter=310,err=0.006259
iter=320,err=0.006433
iter=330,err=0.005960
iter=340,err=0.007220
iter=350,err=0.007974
iter=360,err=0.007781
iter=370,err=0.006764
iter=380,err=0.005735
iter=390,err=0.004005
iter=400,err=0.003976
iter=410,err=0.004105
iter=420,err=0.004872
iter=430,err=0.004832
iter=440,err=0.005587
iter=450,err=0.004513
iter=460,err=0.004035
iter=470,err=0.003918
iter=480,err=0.003802
iter=490,err=0.002876
iter=500,err=0.001650
iter=510,err=0.001249
iter=520,err=0.001341
iter=530,err=0.001777
iter=540,err=0.002457
iter=550,err=0.003641
iter=560,err=0.003964
iter=570,err=0.005625
iter=580,err=0.005047
iter=590,err=0.004671
iter=600,err=0.004897
iter=610,err=0.005113
iter=620,err=0.003478
iter=630,err=0.002918
iter=640,err=0.002967
iter=650,err=0.002934
iter=660,err=0.002836
iter=670,err=0.003029
iter=680,err=0.002567
iter=690,err=0.002678
iter=700,err=0.003240
iter=710,err=0.002437
iter=720,err=0.002636
iter=730,err=0.002318
iter=740,err=0.002936
iter=750,err=0.002489
iter=760,err=0.002669
iter=770,err=0.003677
iter=780,err=0.002988
iter=790,err=0.003265
iter=800,err=0.002821
iter=810,err=0.003057
iter=820,err=0.002260
iter=830,err=0.001956
iter=840,err=0.002094
iter=850,err=0.001911
iter=860,err=0.002023
iter=870,err=0.001919
iter=880,err=0.001481
iter=890,err=0.001434
iter=900,err=0.001515
iter=910,err=0.001755
iter=920,err=0.001908
iter=930,err=0.002083
iter=940,err=0.002250
iter=950,err=0.001542
iter=960,err=0.001652
iter=970,err=0.001694
iter=980,err=0.001621
iter=990,err=0.001793
iter=1000,err=0.001584
