iter=0,loss=0.272971,psnr=11.277677
iter=10,loss=0.268496,psnr=11.421256
iter=20,loss=0.257407,psnr=11.787585
iter=30,loss=0.250831,psnr=12.012384
iter=40,loss=0.244093,psnr=12.248894
iter=50,loss=0.234539,psnr=12.595706
iter=60,loss=0.224691,psnr=12.968274
iter=70,loss=0.214840,psnr=13.357677
iter=80,loss=0.208895,psnr=13.601438
iter=90,loss=0.205786,psnr=13.731692
iter=100,loss=0.203193,psnr=13.841811
iter=110,loss=0.199617,psnr=13.996041
iter=120,loss=0.195292,psnr=14.186319
iter=130,loss=0.193040,psnr=14.287063
iter=140,loss=0.191836,psnr=14.341394
iter=150,loss=0.191038,psnr=14.377598
iter=160,loss=0.190269,psnr=14.412636
iter=170,loss=0.189622,psnr=14.442223
iter=180,loss=0.187865,psnr=14.523088
iter=190,loss=0.185723,psnr=14.622677
iter=200,loss=0.184551,psnr=14.677678
iter=210,loss=0.183857,psnr=14.710388
iter=220,loss=0.182821,psnr=14.759461
iter=230,loss=0.181607,psnr=14.817365
iter=240,loss=0.180489,psnr=14.870999
iter=250,loss=0.179855,psnr=14.901548
iter=260,loss=0.179466,psnr=14.920344
iter=270,loss=0.178959,psnr=14.944953
iter=280,loss=0.178405,psnr=14.971869
iter=290,loss=0.177773,psnr=15.002672
iter=300,loss=0.177272,psnr=15.027198
